acceXmin,acceXmax,acceXmean,acceXstd,acceYmin,acceYmax,acceYmean,acceYstd,acceZmin,acceZmax,acceZmean,acceZstd,gXmin,gXmax,gXmean,gXstd,gYmin,gYmax,gYmean,gYstd,gZmin,gZmax,gZmean,gZstd,label
0.25,0.5,0.37605,0.050593438,-1.99,-1.25,-1.65135,0.202702043,10.01,10.41,10.2199,0.056435047,-0.22,0.01,-0.10535,0.048690155,0.01,0.1,0.05795,0.015213638,-0.02,0,-0.0118,0.005468962,0
0.25,0.41,0.3299,0.033067466,-2.07,-1.56,-1.8775,0.14033252,9.95,10.36,10.17885,0.054257691,-0.2,0.01,-0.1142,0.037795536,0.02,0.1,0.0601,0.011604452,-0.02,0,-0.01275,0.005298857,0
0.23,0.5,0.36985,0.048716981,-2.06,-1.34,-1.7028,0.194316635,10.03,10.45,10.21145,0.058433465,-0.21,0.01,-0.10135,0.050541565,0.01,0.09,0.05685,0.015288762,-0.03,0,-0.01205,0.005332888,0
0.26,0.44,0.34575,0.034748739,-2.04,-1.53,-1.862,0.136599035,9.96,10.36,10.18095,0.052873201,-0.2,0.02,-0.1094,0.039578686,0.02,0.1,0.0593,0.012380484,-0.02,0,-0.0123,0.005277239,0
0.27,0.45,0.35485,0.040461875,-2.06,-1.47,-1.7861,0.15770907,9.94,10.42,10.19535,0.05454128,-0.23,0,-0.11035,0.045461094,0.03,0.1,0.0594,0.013914311,-0.02,0,-0.0123,0.004983389,0
0.23,0.5,0.34855,0.045417079,-2.01,-1.3,-1.77445,0.194351641,9.96,10.41,10.1998,0.059308918,-0.21,0.03,-0.0993,0.04518538,0.01,0.1,0.05705,0.014205863,-0.02,0,-0.0116,0.005346299,0
0.18,0.43,0.29065,0.044632249,-1.73,-1.18,-1.45385,0.150562355,10.02,10.43,10.2548,0.055699842,-0.21,0.01,-0.11275,0.041503617,0.01,0.11,0.061,0.014035132,-0.02,0,-0.0124,0.005232292,0
0.69,0.9,0.81295,0.033904944,-1.22,-1.02,-1.1125,0.034535685,10.13,10.55,10.3027,0.05839314,-0.19,-0.03,-0.1087,0.022221136,0.03,0.1,0.05835,0.010879768,-0.03,0,-0.012,0.005398678,1
0.22,0.96,0.65155,0.163427784,-1.83,-0.64,-0.98395,0.249620612,9.95,10.65,10.31695,0.098016497,-0.37,0,-0.12605,0.05423657,0.03,0.13,0.06385,0.021235163,-0.05,0.01,-0.0144,0.008602909,1
0.85,1.04,0.95315,0.032307839,-0.84,-0.55,-0.6944,0.061387966,10.13,10.6,10.33615,0.057166578,-0.17,0,-0.10325,0.022325538,0.02,0.1,0.05665,0.012207482,-0.02,0,-0.0107,0.003684819,1
0.92,1.08,1.00785,0.026578366,-0.71,-0.31,-0.5198,0.081004746,10.13,10.6,10.34915,0.065461466,-0.18,-0.01,-0.10265,0.024070197,0.02,0.1,0.05855,0.012696595,-0.02,0,-0.01075,0.0036059,1
